Recency,Frequency,Monetary,Cluster,Churn
330,10,225.89999999999998,3,1
5,42,610.52,0,0
39,83,1970.6,0,0
25,45,1331.39,0,0
42,165,17628.46,0,0
59,48,1113.02,1,0
1,52,862.81,0,0
15,638,13787.54,0,0
4,525,12288.22,0,0
4,344,8476.57,0,0
8,105,2283.63,0,0
28,157,2863.08,0,0
372,7,89.14,3,1
114,171,4873.8099999999995,1,1
26,72,1247.61,0,0
206,16,389.01,3,1
28,32,1035.8,0,0
127,39,855.91,1,1
70,37,869.67,1,0
7,27,582.1,0,0
29,41,957.59,0,0
8,268,4939.99,0,0
80,53,797.71,1,0
20,12,219.0,0,0
71,21,283.55,1,0
7,88,2340.84,0,0
15,334,6868.29,0,0
292,33,603.42,3,1
30,157,2712.91,0,0
15,208,9736.52,0,0
97,77,1149.02,1,1
29,133,4396.13,0,0
1,38,848.55,0,0
9,259,4708.86,0,0
106,21,353.86,1,1
4,69,1053.49,0,0
151,55,1030.98,1,1
71,19,238.25,1,0
5,39,644.95,0,0
3,354,5781.73,0,0
32,161,2656.13,0,0
85,53,997.63,1,0
4,69,725.07,0,0
5,53,1031.41,0,0
371,24,427.8,3,1
28,124,2609.1,0,0
11,139,3980.7,0,0
71,46,836.33,1,0
114,26,453.01,1,1
24,274,18895.91,0,0
180,12,236.26000000000002,1,1
234,22,383.95,3,1
353,4,110.39999999999999,3,1
315,43,779.5699999999999,3,1
333,4,234.0,3,1
372,11,155.35,3,1
78,38,1013.04,1,0
64,27,427.6,1,0
134,134,546.43,1,1
52,222,21279.29,0,0
2,103,4196.01,0,0
1,4596,33719.73,2,0
4,199,4090.88,0,0
129,15,275.88,1,1
81,53,4366.78,1,0
23,197,21429.39,0,0
236,63,3010.74,3,1
281,4,3811.95,3,1
87,4,112.07999999999998,1,0
16,371,7857.1,0,0
117,97,2791.59,1,1
52,95,1531.44,0,0
8,69,1898.52,0,0
138,18,494.08,1,1
317,45,1693.88,3,1
4,310,6989.63,0,0
239,32,1143.6,3,1
211,12,1351.45,3,1
60,55,892.47,1,0
17,66,1386.04,0,0
20,50,822.23,0,0
38,149,3981.36,0,0
64,25,826.74,1,0
5,103,2330.92,0,0
2,84,2225.91,0,0
9,59,574.42,0,0
364,14,311.95,3,1
10,20,463.66,0,0
65,4,91.85,1,0
192,21,324.92,3,1
374,2,192.60000000000002,3,1
257,25,400.53999999999996,3,1
335,24,545.48,3,1
53,45,860.41,1,0
19,14,430.48,0,0
366,13,254.03,3,1
10,8,6977.04,0,0
187,25,427.58,3,1
37,28,483.65000000000003,0,0
178,25,489.31,1,1
261,31,514.85,3,1
45,15,229.64000000000001,1,0
102,2,125.92,1,1
148,47,1063.46,1,1
96,29,572.2,1,1
281,4,166.04,3,1
262,14,1542.08,3,1
3,59,942.34,0,0
214,6,92.72,3,1
71,46,948.88,1,0
75,5,1759.5,1,0
60,25,397.12,1,0
3,91,1474.72,0,0
6,25,430.15000000000003,0,0
3,56,1018.71,0,0
337,11,293.0,3,1
38,38,6814.64,0,0
262,9,215.05,3,1
32,27,383.03,0,0
145,24,417.38,1,1
283,18,312.38,3,1
59,175,2612.86,0,0
173,12,134.1,1,1
34,123,683.13,0,0
3,314,5591.42,0,0
144,113,2726.77,1,1
5,420,4022.35,0,0
70,34,1118.99,1,0
66,103,1702.26,1,0
29,52,325.96000000000004,0,0
267,27,354.09,3,1
22,91,871.54,0,0
31,51,1050.8899999999999,0,0
97,50,135.18,1,1
295,17,311.55,3,1
135,78,1957.1000000000001,1,1
79,110,1324.5,1,0
373,3,38.1,3,1
8,314,2179.93,0,0
211,46,1106.4,3,1
52,5,521.2,1,0
138,3,147.12,1,1
26,95,1568.23,0,0
283,26,559.12,3,1
26,538,4036.82,0,0
186,107,1607.0600000000002,1,1
84,11,380.64,1,0
327,66,599.97,3,1
282,4,374.0,3,1
143,2,343.2300000000001,1,1
58,85,2218.02,0,0
4,154,1535.77,0,0
236,47,854.99,3,1
45,10,573.22,1,0
276,7,298.0,3,1
9,13,1463.04,0,0
25,42,703.47,0,0
88,7,309.05,1,0
63,71,1175.22,1,0
68,82,1378.4,1,0
214,5,354.12,3,1
24,82,380.46999999999997,0,0
186,3,331.0,3,1
31,34,188.14,0,0
42,22,372.8,1,0
205,4,216.5,3,1
9,116,17654.54,0,0
265,10,138.68,3,1
18,72,509.58,0,0
12,63,2919.81,0,0
176,2,750.0,1,1
40,91,2178.67,0,0
23,75,3075.04,0,0
3,24,1662.3,0,0
5,50,2483.63,0,0
149,22,363.65,1,1
139,107,3006.15,1,1
128,2,594.0,1,1
8,50,1335.19,0,0
17,28,164.23,0,0
9,720,16587.09,0,0
161,28,405.38,1,1
64,29,176.97,1,0
88,30,933.7,1,0
5,45,694.05,0,0
35,84,2062.7000000000003,0,0
312,8,117.85,3,1
78,25,415.8,1,0
22,82,42055.96,0,0
24,106,607.53,0,0
2,129,2160.7,0,0
17,62,1063.9,0,0
15,120,1504.27,0,0
26,9,114.14,0,0
64,47,11581.8,0,0
55,99,913.54,0,0
131,75,683.9,1,1
36,30,604.51,0,0
288,23,462.95,3,1
144,97,1603.99,1,1
16,116,2064.95,0,0
31,215,4167.22,0,0
2,23,1843.0,0,0
9,63,1064.07,0,0
6,79,1387.79,0,0
10,17,329.85,0,0
1,180,4757.16,0,0
306,19,108.07,3,1
10,238,4017.54,0,0
7,16,266.39,0,0
8,95,1856.63,0,0
89,109,771.91,1,0
10,10,160.18,0,0
358,19,1660.9,3,1
112,5,135.95,1,1
7,151,452.24,0,0
4,305,11189.91,0,0
198,8,144.8,3,1
212,22,738.6,3,1
156,9,39.239999999999995,1,1
158,20,7374.900000000001,1,1
30,20,372.21999999999997,0,0
243,28,390.54,3,1
19,4,97.5,0,0
1,76,1239.38,0,0
74,28,558.7,1,0
292,92,535.32,3,1
3,64,6924.110000000001,0,0
31,13,409.5,0,0
23,31,503.76,0,0
23,27,414.76,0,0
4,61,974.4200000000001,0,0
85,3,211.32,1,0
22,59,1226.89,0,0
196,28,455.88,3,1
107,31,534.85,1,1
4,339,9818.82,0,0
318,7,120.94999999999999,3,1
106,6,149.05,1,1
12,404,5655.91,0,0
174,26,513.7,1,1
56,4,81.57,1,0
323,14,229.46999999999997,3,1
372,3,50.550000000000004,3,1
9,89,1661.8400000000001,0,0
1,219,4810.9400000000005,0,0
11,110,3466.2799999999997,0,0
53,176,3346.28,0,0
73,47,789.89,1,0
7,1,204.0,0,0
16,458,7277.7,0,0
4,131,2616.38,0,0
64,40,689.9,1,0
1,40,975.36,0,0
114,26,6912.0,1,1
23,45,661.3199999999999,0,0
31,10,1247.5,0,0
11,99,799.48,0,0
52,71,1010.18,0,0
357,11,190.55,3,1
55,37,642.77,1,0
74,27,921.88,1,0
138,48,881.07,1,1
80,28,908.46,1,0
9,43,676.99,0,0
273,13,516.42,3,1
291,33,560.47,3,1
99,18,305.28000000000003,1,1
31,35,629.31,0,0
32,172,3237.54,0,0
14,136,1835.91,0,0
64,14,656.6800000000001,1,0
15,403,5836.86,0,0
212,18,348.15000000000003,3,1
78,76,1214.41,1,0
25,8,271.40000000000003,0,0
250,8,183.4,3,1
254,15,307.53,3,1
72,10,248.61,1,0
191,11,346.98,3,1
13,69,1119.49,0,0
373,14,205.86,3,1
24,48,470.8,0,0
82,15,115.46000000000001,1,0
10,2,344.0,0,0
1,425,4436.12,0,0
192,9,228.8,3,1
267,7,177.15,3,1
130,22,919.61,1,1
1,112,729.27,0,0
3,358,12627.94,0,0
4,6,220.10000000000002,0,0
179,6,58.08,1,1
12,1028,28337.38,0,0
126,73,3613.63,1,1
4,18,303.75,0,0
158,22,416.08000000000004,1,1
3,1818,58825.83,2,0
9,155,8910.82,0,0
28,21,345.82,0,0
71,25,477.83,1,0
276,159,7832.47,3,1
21,24,1927.3200000000002,0,0
71,6,74.39999999999999,1,0
33,423,6010.42,0,0
1,572,28882.44,0,0
99,1,207.35999999999999,1,1
234,8,101.19,3,1
1,304,6424.09,0,0
40,8,243.94,1,0
3,20,1098.48,0,0
133,1,76.5,1,1
44,58,1531.6200000000001,0,0
373,10,350.06,3,1
60,47,786.54,1,0
31,145,1488.67,0,0
1,201,12245.960000000001,0,0
12,120,2294.78,0,0
138,30,501.14,1,1
22,76,984.91,0,0
20,79,1197.81,0,0
239,1,30.599999999999998,3,1
269,50,283.73,3,1
94,55,922.39,1,1
90,235,3866.33,0,0
5,140,2099.64,0,0
78,15,259.17,1,0
94,2,64.0,1,1
23,44,1073.3,0,0
262,3,77.3,3,1
274,7,109.8,3,1
86,98,1793.58,1,0
197,1,3096.0,3,1
56,127,2607.61,0,0
11,704,3650.41,0,0
22,63,962.39,0,0
16,170,5064.94,0,0
108,46,423.72,1,1
85,135,2388.75,1,0
19,23,307.09,0,0
333,3,110.95,3,1
40,6,618.52,1,0
26,17,228.91,0,0
10,4,712.8000000000001,0,0
29,319,3707.12,0,0
14,86,1676.06,0,0
296,74,1257.8700000000001,3,1
6,15,486.22,0,0
33,85,971.76,0,0
49,87,1741.22,0,0
95,79,1201.06,1,1
9,121,1437.85,0,0
22,4,91.8,0,0
313,8,112.75,3,1
122,79,1688.29,1,1
46,42,1021.48,0,0
283,41,417.2,3,1
19,65,791.33,0,0
36,131,1319.19,0,0
64,13,712.88,1,0
27,32,116.00999999999999,0,0
22,46,468.41,0,0
4,43,353.65,0,0
16,314,2817.03,0,0
46,72,492.84,0,0
65,17,282.45,1,0
26,265,5725.47,0,0
45,11,121.18,1,0
8,94,3957.78,0,0
15,181,1701.29,0,0
268,1,71.4,3,1
40,79,1575.89,0,0
337,37,236.02,3,1
11,2,114.60000000000001,0,0
19,29,260.68,0,0
95,63,911.94,1,1
61,29,117.88,1,0
136,3,60.7,1,1
11,110,1797.78,0,0
10,226,3401.2400000000002,0,0
4,119,9817.12,0,0
19,46,870.09,0,0
10,57,869.46,0,0
15,8,250.26000000000002,0,0
59,149,1223.9,0,0
30,321,5891.61,0,0
94,22,353.48,1,1
10,56,1197.42,0,0
20,142,788.08,0,0
57,90,1520.58,0,0
268,5,333.74,3,1
122,4,533.98,1,1
127,5,62.63999999999999,1,1
78,21,819.2900000000001,1,0
240,66,847.41,3,1
200,5,163.20000000000002,3,1
60,108,2155.95,0,0
3,32,6463.84,0,0
273,16,108.21000000000001,3,1
202,9,257.7,3,1
81,2,358.0,1,0
226,10,160.95,3,1
4,611,2806.97,0,0
13,207,1357.6,0,0
74,43,605.12,1,0
212,58,1031.07,3,1
25,36,744.85,0,0
17,31,700.73,0,0
262,22,329.56,3,1
96,67,663.65,1,1
112,13,270.40000000000003,1,1
203,58,600.07,3,1
93,27,121.74000000000001,1,1
51,16,430.5,1,0
18,141,1987.3,0,0
18,25,501.12,0,0
125,26,465.68,1,1
92,23,711.41,1,1
157,36,1030.4,1,1
9,13,399.51,0,0
14,1,0.0,0,0
12,38,698.58,0,0
62,87,292.32,1,0
61,8,557.62,1,0
269,9,944.1,3,1
263,11,200.29,3,1
1,1677,7454.07,0,0
53,91,2107.66,0,0
11,187,3834.2599999999998,0,0
3,211,4521.49,0,0
18,440,3214.69,0,0
1,316,5346.2300000000005,0,0
366,1,590.0,3,1
37,96,217.38,0,0
31,15,276.56,0,0
113,16,138.98,1,1
64,30,590.9300000000001,1,0
16,8,258.4,0,0
41,46,542.73,0,0
78,9,137.75,1,0
122,85,814.86,1,1
18,37,1132.14,0,0
60,7,93.66,1,0
331,13,201.19,3,1
23,187,2709.12,0,0
156,42,361.11,1,1
39,31,578.9399999999999,0,0
190,54,873.74,3,1
360,10,201.20000000000002,3,1
137,5,87.4,1,1
8,59,2089.85,0,0
1,2,360.0,0,0
268,5,142.5,3,1
169,20,371.89,1,1
104,81,618.09,1,1
155,1,63.75,1,1
351,21,300.42,3,1
4,81,2000.86,0,0
120,1,15.0,1,1
23,54,1385.51,0,0
7,107,1456.79,0,0
28,72,1132.03,0,0
4,26,598.57,0,0
22,78,1555.32,0,0
2,62,775.94,0,0
37,87,5977.7300000000005,0,0
66,124,2273.68,0,0
1,20,640.76,0,0
5,476,10845.550000000001,0,0
78,106,1548.7,1,0
72,11,567.36,1,0
17,25,199.48000000000002,0,0
3,21,787.85,0,0
36,75,7121.95,0,0
82,12,675.3,1,0
39,108,3627.77,0,0
316,17,1308.48,3,1
32,17,789.0,0,0
93,53,1140.93,1,1
14,21,350.9,0,0
82,268,3536.82,0,0
77,51,795.12,1,0
158,19,487.02,1,1
201,54,860.12,3,1
45,134,10736.48,0,0
261,42,775.85,3,1
178,19,353.43,1,1
68,119,2543.72,0,0
288,20,389.5,3,1
70,8,341.36,1,0
64,14,233.76,1,0
11,16,247.32,0,0
16,40,979.12,0,0
66,16,373.94,1,0
60,24,397.97999999999996,1,0
71,51,743.53,1,0
122,32,674.7,1,1
80,42,768.24,1,0
257,90,609.95,3,1
269,29,439.03,3,1
64,23,439.56,1,0
9,166,3090.7400000000002,0,0
18,60,992.5,0,0
71,10,134.95999999999998,1,0
34,128,2225.37,0,0
50,1,56.160000000000004,1,0
257,29,623.4,3,1
366,14,308.28000000000003,3,1
372,39,754.87,3,1
90,23,378.64,1,0
61,158,3312.25,0,0
89,37,778.65,1,0
99,53,1019.76,1,1
26,97,572.56,0,0
32,172,3639.31,0,0
281,15,222.99,3,1
31,152,4151.93,0,0
330,35,534.57,3,1
131,35,677.1,1,1
11,51,797.96,0,0
75,13,544.08,1,0
204,1,59.8,3,1
2,155,2520.02,0,0
185,21,307.72,1,1
29,43,1360.99,0,0
73,38,1544.13,1,0
192,26,457.34,3,1
127,39,621.23,1,1
18,3,75.0,0,0
1,11,252.49,0,0
74,27,572.451,1,0
2,478,28117.04,0,0
24,28,1003.06,0,0
107,18,213.55,1,1
134,24,1390.5,1,1
44,19,712.5,1,0
5,28,640.83,0,0
12,304,6127.43,0,0
64,16,221.06,1,0
150,8,159.85,1,1
40,104,1851.08,0,0
64,127,2626.3,0,0
108,78,1624.21,1,1
1,157,3641.32,0,0
19,29,582.6,0,0
10,74,218.47,0,0
11,67,1006.8,0,0
19,49,679.45,0,0
67,46,1269.1,1,0
74,10,534.24,1,0
5,101,3809.8900000000003,0,0
2,12,196.89,0,0
14,167,3408.06,0,0
255,54,283.71,3,1
92,13,296.64,1,1
23,59,1129.14,0,0
17,195,3539.37,0,0
24,19,291.88,0,0
27,71,2043.7199999999998,0,0
26,443,2976.15,0,0
259,2,590.0,3,1
166,17,356.97999999999996,1,1
25,46,1058.34,0,0
18,63,1766.72,0,0
7,382,9646.57,0,0
29,17,183.44,0,0
39,27,1445.0,0,0
253,9,151.5,3,1
58,41,674.68,1,0
184,17,307.9,1,1
11,99,1083.71,0,0
2,302,5704.97,0,0
99,10,165.0,1,1
1,260,2531.58,0,0
61,21,422.64,1,0
236,64,229.59,3,1
191,86,1431.78,3,1
179,58,1238.47,1,1
38,79,1454.58,0,0
201,15,300.95,3,1
46,109,1804.56,0,0
232,11,184.64,3,1
66,10,140.34,1,0
241,8,313.8,3,1
233,23,454.24,3,1
78,69,1122.41,1,0
58,34,575.4,1,0
17,422,8968.31,0,0
105,14,449.52,1,1
52,86,1215.82,0,0
136,50,1269.84,1,1
275,8,618.63,3,1
312,18,316.26000000000005,3,1
8,48,2044.8700000000001,0,0
11,35,653.33,0,0
283,19,348.05,3,1
18,42,1159.11,0,0
23,65,1166.77,0,0
288,52,1340.32,3,1
17,18,292.0,0,0
71,17,216.85,1,0
64,22,295.93,1,0
73,215,4393.63,0,0
316,26,458.52,3,1
3,162,2479.16,0,0
244,12,110.97,3,1
9,44,979.72,0,0
1,115,1791.56,0,0
261,15,251.21,3,1
127,10,205.1,1,1
74,4,152.20000000000002,1,0
73,59,891.12,1,0
21,44,1389.41,0,0
60,141,2128.42,0,0
86,38,659.4399999999999,1,0
78,8,122.75,1,0
59,93,3624.35,0,0
1,436,1093.65,0,0
30,5,125.80000000000001,0,0
33,172,3964.88,0,0
41,27,680.1800000000001,0,0
15,6,628.78,0,0
34,223,2287.51,0,0
79,15,307.76,1,0
205,22,483.8,3,1
34,66,210.31,0,0
183,76,270.79,1,1
2,296,5870.08,0,0
1,179,3448.29,0,0
43,25,1280.85,0,0
86,37,631.34,1,0
40,87,291.41,0,0
12,98,626.99,0,0
96,124,682.41,1,1
26,51,918.2,0,0
319,4,91.80000000000001,3,1
66,109,3740.07,0,0
74,136,4149.28,0,0
28,34,584.06,0,0
6,175,605.06,0,0
7,33,174.37,0,0
216,14,141.85999999999999,3,1
82,82,1799.33,1,0
84,49,777.53,1,0
144,83,1749.02,1,1
19,38,240.22,0,0
41,176,874.71,0,0
173,44,192.85,1,1
17,85,373.75,0,0
243,27,239.49,3,1
13,341,2092.32,0,0
206,33,1384.25,3,1
50,26,294.4,1,0
23,46,732.0699999999999,0,0
10,126,6717.34,0,0
25,83,1687.6000000000001,0,0
15,23,467.04,0,0
309,10,118.0,3,1
156,53,781.03,1,1
307,24,142.4,3,1
64,8,712.4,1,0
16,174,2478.95,0,0
15,21,379.65,0,0
11,87,1981.92,0,0
65,58,1117.13,1,0
36,16,247.95999999999998,0,0
108,128,2037.0800000000002,1,1
53,26,396.97,1,0
6,166,697.04,0,0
47,40,180.17000000000002,1,0
1,247,5153.67,0,0
312,19,219.52,3,1
45,99,693.32,0,0
65,23,428.89,1,0
26,27,164.34,0,0
29,43,280.53999999999996,0,0
40,98,678.01,0,0
12,226,1131.88,0,0
89,74,1171.8,1,0
24,201,1610.46,0,0
319,23,417.69,3,1
40,44,544.18,0,0
174,13,177.34,1,1
117,19,213.85,1,1
31,81,747.78,0,0
253,19,257.23,3,1
59,92,1638.47,0,0
23,59,7792.36,0,0
5,71,2031.78,0,0
100,11,3070.42,1,1
25,146,2121.27,0,0
33,188,1575.16,0,0
68,62,1071.03,1,0
37,63,949.12,0,0
52,101,810.5,0,0
16,8,122.64,0,0
74,40,1033.34,1,0
216,66,354.8,3,1
31,28,519.44,0,0
16,146,2624.26,0,0
120,5,252.1,1,1
10,79,1678.1200000000001,0,0
257,23,346.6,3,1
17,96,1836.34,0,0
35,6,94.2,0,0
46,63,1095.08,0,0
43,166,2707.33,0,0
114,56,932.97,1,1
165,49,379.65,1,1
11,16,382.14,0,0
10,108,2639.17,0,0
206,104,1573.2,3,1
86,53,897.76,1,0
179,13,189.47,1,1
60,12,84.65,1,0
149,87,305.02,1,1
3,470,6363.59,0,0
51,9,218.55,1,0
75,25,349.7,1,0
301,6,186.39000000000001,3,1
19,65,396.92,0,0
151,25,486.82000000000005,1,1
152,16,232.6,1,1
1,195,3722.42,0,0
18,57,827.83,0,0
187,3,59.5,3,1
286,30,67.23,3,1
3,39,3119.44,0,0
183,8,72.0,1,1
63,6,910.0,1,0
59,9,172.25,1,0
25,53,1488.32,0,0
4,568,65039.62,0,0
31,90,2504.13,0,0
39,12,151.29999999999998,1,0
155,14,308.58000000000004,1,1
26,197,2265.12,0,0
318,1,99.5,3,1
5,134,2308.06,0,0
8,28,711.86,0,0
303,20,330.79,3,1
267,48,806.41,3,1
271,51,296.88,3,1
4,336,6328.05,0,0
32,8,180.48,0,0
219,13,252.06,3,1
247,10,228.84,3,1
281,105,1079.34,3,1
269,21,138.28,3,1
32,102,1445.01,0,0
246,12,306.55,3,1
15,60,1041.68,0,0
117,43,799.9,1,1
36,28,524.14,0,0
132,85,2375.41,1,1
217,6,199.85000000000002,3,1
50,104,1980.56,0,0
39,42,1079.6599999999999,0,0
29,20,333.48,0,0
37,63,1016.14,0,0
136,43,752.6,1,1
219,38,610.59,3,1
28,33,491.86,0,0
25,196,2885.2400000000002,0,0
5,191,731.9,0,0
200,30,339.59999999999997,3,1
18,3,216.9,0,0
241,23,350.75,3,1
72,34,668.4300000000001,1,0
17,321,3131.02,0,0
3,41,1341.6,0,0
95,72,1156.36,1,1
162,25,300.04,1,1
374,1,79.6,3,1
96,28,948.25,1,1
54,24,1647.26,1,0
288,9,296.25,3,1
124,76,1186.28,1,1
288,35,741.26,3,1
152,12,282.59999999999997,1,1
4,342,2161.35,0,0
2,142,5189.52,0,0
12,117,3190.55,0,0
33,25,659.4100000000001,0,0
54,57,286.79,1,0
50,70,1070.65,0,0
219,7,306.72,3,1
63,15,1714.96,1,0
71,208,1521.76,0,0
2,368,17220.36,0,0
2,135,2796.51,0,0
64,119,2634.45,0,0
34,177,1132.13,0,0
82,22,345.0,1,0
1,197,25977.16,0,0
103,9,178.7,1,1
7,57,360.01,0,0
251,17,127.84,3,1
13,115,912.0,0,0
10,31,2462.79,0,0
367,7,230.39999999999998,3,1
76,31,309.04,1,0
4,45,348.8,0,0
128,11,1516.0,1,1
66,13,195.55,1,0
1,349,37153.85,0,0
117,39,688.86,1,1
310,33,558.32,3,1
67,23,324.8,1,0
139,60,4599.42,1,1
255,17,277.07,3,1
31,137,2635.79,0,0
52,13,924.6,1,0
64,10,256.38,1,0
367,7,112.6,3,1
