Recency,Frequency,Monetary
130,22,919.61
1,112,729.27
3,358,12627.94
4,6,220.10000000000002
179,6,58.08
12,1028,28337.38
126,73,3613.63
4,18,303.75
158,22,416.08000000000004
3,1818,58825.83
9,155,8910.82
28,21,345.82
71,25,477.83
276,159,7832.47
21,24,1927.3200000000002
71,6,74.39999999999999
33,423,6010.42
1,572,28882.44
99,1,207.35999999999999
234,8,101.19
1,304,6424.09
40,8,243.94
3,20,1098.48
133,1,76.5
44,58,1531.6200000000001
373,10,350.06
60,47,786.54
31,145,1488.67
1,201,12245.960000000001
12,120,2294.78
138,30,501.14
22,76,984.91
20,79,1197.81
239,1,30.599999999999998
269,50,283.73
94,55,922.39
90,235,3866.33
5,140,2099.64
78,15,259.17
94,2,64.0
23,44,1073.3
262,3,77.3
274,7,109.8
86,98,1793.58
197,1,3096.0
56,127,2607.61
11,704,3650.41
22,63,962.39
16,170,5064.94
108,46,423.72
85,135,2388.75
19,23,307.09
333,3,110.95
40,6,618.52
26,17,228.91
10,4,712.8000000000001
29,319,3707.12
14,86,1676.06
296,74,1257.8700000000001
6,15,486.22
33,85,971.76
49,87,1741.22
95,79,1201.06
9,121,1437.85
22,4,91.8
313,8,112.75
122,79,1688.29
46,42,1021.48
283,41,417.2
19,65,791.33
36,131,1319.19
64,13,712.88
27,32,116.00999999999999
22,46,468.41
4,43,353.65
16,314,2817.03
46,72,492.84
65,17,282.45
26,265,5725.47
45,11,121.18
8,94,3957.78
15,181,1701.29
268,1,71.4
40,79,1575.89
337,37,236.02
11,2,114.60000000000001
19,29,260.68
95,63,911.94
61,29,117.88
136,3,60.7
11,110,1797.78
10,226,3401.2400000000002
4,119,9817.12
19,46,870.09
10,57,869.46
15,8,250.26000000000002
59,149,1223.9
30,321,5891.61
94,22,353.48
10,56,1197.42
20,142,788.08
57,90,1520.58
268,5,333.74
122,4,533.98
127,5,62.63999999999999
78,21,819.2900000000001
240,66,847.41
200,5,163.20000000000002
60,108,2155.95
3,32,6463.84
273,16,108.21000000000001
202,9,257.7
81,2,358.0
226,10,160.95
4,611,2806.97
13,207,1357.6
74,43,605.12
212,58,1031.07
25,36,744.85
17,31,700.73
262,22,329.56
96,67,663.65
112,13,270.40000000000003
203,58,600.07
93,27,121.74000000000001
51,16,430.5
18,141,1987.3
18,25,501.12
125,26,465.68
92,23,711.41
157,36,1030.4
9,13,399.51
14,1,0.0
12,38,698.58
62,87,292.32
61,8,557.62
269,9,944.1
263,11,200.29
1,1677,7454.07
53,91,2107.66
11,187,3834.2599999999998
3,211,4521.49
18,440,3214.69
1,316,5346.2300000000005
366,1,590.0
37,96,217.38
31,15,276.56
113,16,138.98
64,30,590.9300000000001
16,8,258.4
41,46,542.73
78,9,137.75
122,85,814.86
18,37,1132.14
60,7,93.66
331,13,201.19
23,187,2709.12
156,42,361.11
39,31,578.9399999999999
190,54,873.74
360,10,201.20000000000002
137,5,87.4
8,59,2089.85
1,2,360.0
268,5,142.5
169,20,371.89
104,81,618.09
155,1,63.75
351,21,300.42
4,81,2000.86
120,1,15.0
23,54,1385.51
7,107,1456.79
28,72,1132.03
4,26,598.57
22,78,1555.32
2,62,775.94
37,87,5977.7300000000005
66,124,2273.68
1,20,640.76
5,476,10845.550000000001
78,106,1548.7
72,11,567.36
17,25,199.48000000000002
3,21,787.85
36,75,7121.95
82,12,675.3
39,108,3627.77
316,17,1308.48
32,17,789.0
93,53,1140.93
14,21,350.9
82,268,3536.82
77,51,795.12
158,19,487.02
201,54,860.12
45,134,10736.48
261,42,775.85
178,19,353.43
68,119,2543.72
288,20,389.5
70,8,341.36
64,14,233.76
11,16,247.32
16,40,979.12
66,16,373.94
60,24,397.97999999999996
71,51,743.53
122,32,674.7
80,42,768.24
257,90,609.95
269,29,439.03
64,23,439.56
9,166,3090.7400000000002
18,60,992.5
71,10,134.95999999999998
34,128,2225.37
50,1,56.160000000000004
257,29,623.4
366,14,308.28000000000003
372,39,754.87
90,23,378.64
61,158,3312.25
89,37,778.65
99,53,1019.76
26,97,572.56
32,172,3639.31
281,15,222.99
31,152,4151.93
330,35,534.57
131,35,677.1
11,51,797.96
75,13,544.08
204,1,59.8
2,155,2520.02
185,21,307.72
29,43,1360.99
73,38,1544.13
192,26,457.34
127,39,621.23
18,3,75.0
1,11,252.49
74,27,572.451
2,478,28117.04
24,28,1003.06
107,18,213.55
134,24,1390.5
44,19,712.5
5,28,640.83
12,304,6127.43
64,16,221.06
150,8,159.85
40,104,1851.08
64,127,2626.3
108,78,1624.21
1,157,3641.32
19,29,582.6
10,74,218.47
11,67,1006.8
19,49,679.45
67,46,1269.1
74,10,534.24
5,101,3809.8900000000003
2,12,196.89
14,167,3408.06
255,54,283.71
92,13,296.64
23,59,1129.14
17,195,3539.37
24,19,291.88
27,71,2043.7199999999998
26,443,2976.15
259,2,590.0
166,17,356.97999999999996
25,46,1058.34
18,63,1766.72
7,382,9646.57
29,17,183.44
39,27,1445.0
253,9,151.5
58,41,674.68
184,17,307.9
11,99,1083.71
2,302,5704.97
99,10,165.0
1,260,2531.58
61,21,422.64
236,64,229.59
191,86,1431.78
179,58,1238.47
38,79,1454.58
201,15,300.95
46,109,1804.56
232,11,184.64
66,10,140.34
241,8,313.8
233,23,454.24
78,69,1122.41
58,34,575.4
17,422,8968.31
105,14,449.52
52,86,1215.82
136,50,1269.84
275,8,618.63
312,18,316.26000000000005
8,48,2044.8700000000001
11,35,653.33
283,19,348.05
18,42,1159.11
23,65,1166.77
288,52,1340.32
17,18,292.0
71,17,216.85
64,22,295.93
73,215,4393.63
316,26,458.52
3,162,2479.16
244,12,110.97
9,44,979.72
1,115,1791.56
261,15,251.21
127,10,205.1
74,4,152.20000000000002
73,59,891.12
21,44,1389.41
60,141,2128.42
86,38,659.4399999999999
78,8,122.75
59,93,3624.35
1,436,1093.65
30,5,125.80000000000001
33,172,3964.88
41,27,680.1800000000001
15,6,628.78
34,223,2287.51
79,15,307.76
205,22,483.8
34,66,210.31
183,76,270.79
2,296,5870.08
1,179,3448.29
43,25,1280.85
86,37,631.34
40,87,291.41
12,98,626.99
96,124,682.41
26,51,918.2
319,4,91.80000000000001
66,109,3740.07
74,136,4149.28
28,34,584.06
6,175,605.06
7,33,174.37
216,14,141.85999999999999
82,82,1799.33
84,49,777.53
144,83,1749.02
19,38,240.22
41,176,874.71
173,44,192.85
17,85,373.75
243,27,239.49
13,341,2092.32
206,33,1384.25
50,26,294.4
23,46,732.0699999999999
10,126,6717.34
25,83,1687.6000000000001
15,23,467.04
309,10,118.0
156,53,781.03
307,24,142.4
64,8,712.4
16,174,2478.95
15,21,379.65
11,87,1981.92
65,58,1117.13
36,16,247.95999999999998
108,128,2037.0800000000002
53,26,396.97
6,166,697.04
47,40,180.17000000000002
1,247,5153.67
312,19,219.52
45,99,693.32
65,23,428.89
26,27,164.34
29,43,280.53999999999996
40,98,678.01
12,226,1131.88
89,74,1171.8
24,201,1610.46
319,23,417.69
40,44,544.18
174,13,177.34
117,19,213.85
31,81,747.78
253,19,257.23
59,92,1638.47
23,59,7792.36
5,71,2031.78
100,11,3070.42
25,146,2121.27
33,188,1575.16
68,62,1071.03
37,63,949.12
52,101,810.5
16,8,122.64
74,40,1033.34
216,66,354.8
31,28,519.44
16,146,2624.26
120,5,252.1
10,79,1678.1200000000001
257,23,346.6
17,96,1836.34
35,6,94.2
46,63,1095.08
43,166,2707.33
114,56,932.97
165,49,379.65
11,16,382.14
10,108,2639.17
206,104,1573.2
86,53,897.76
179,13,189.47
60,12,84.65
149,87,305.02
3,470,6363.59
51,9,218.55
75,25,349.7
301,6,186.39000000000001
19,65,396.92
151,25,486.82000000000005
152,16,232.6
1,195,3722.42
18,57,827.83
187,3,59.5
286,30,67.23
3,39,3119.44
183,8,72.0
63,6,910.0
59,9,172.25
25,53,1488.32
4,568,65039.62
31,90,2504.13
39,12,151.29999999999998
155,14,308.58000000000004
26,197,2265.12
318,1,99.5
5,134,2308.06
8,28,711.86
303,20,330.79
267,48,806.41
271,51,296.88
4,336,6328.05
32,8,180.48
219,13,252.06
247,10,228.84
281,105,1079.34
269,21,138.28
32,102,1445.01
246,12,306.55
15,60,1041.68
117,43,799.9
36,28,524.14
132,85,2375.41
217,6,199.85000000000002
50,104,1980.56
39,42,1079.6599999999999
29,20,333.48
37,63,1016.14
136,43,752.6
219,38,610.59
28,33,491.86
25,196,2885.2400000000002
5,191,731.9
200,30,339.59999999999997
18,3,216.9
241,23,350.75
72,34,668.4300000000001
17,321,3131.02
3,41,1341.6
95,72,1156.36
162,25,300.04
374,1,79.6
96,28,948.25
54,24,1647.26
288,9,296.25
124,76,1186.28
288,35,741.26
152,12,282.59999999999997
4,342,2161.35
2,142,5189.52
12,117,3190.55
33,25,659.4100000000001
54,57,286.79
50,70,1070.65
219,7,306.72
63,15,1714.96
71,208,1521.76
2,368,17220.36
2,135,2796.51
64,119,2634.45
34,177,1132.13
82,22,345.0
1,197,25977.16
103,9,178.7
7,57,360.01
251,17,127.84
13,115,912.0
10,31,2462.79
367,7,230.39999999999998
76,31,309.04
4,45,348.8
128,11,1516.0
66,13,195.55
1,349,37153.85
117,39,688.86
310,33,558.32
67,23,324.8
139,60,4599.42
255,17,277.07
31,137,2635.79
52,13,924.6
64,10,256.38
367,7,112.6
6,76,1747.66
305,12,155.05
29,35,1499.01
184,13,814.5
42,36,539.0
40,69,1366.8600000000001
92,57,1579.12
22,176,4027.36
24,28,571.6700000000001
29,24,382.98
302,36,1140.35
145,59,385.64
6,96,632.0
19,40,957.66
33,46,1698.94
176,10,189.5
58,93,412.05
22,15,209.49
16,74,2202.99
19,3,52.199999999999996
159,29,384.8
25,55,834.57
212,19,271.24
6,174,691.73
253,1,85.0
59,206,3385.62
11,20,361.62
65,9,312.98
25,55,865.0600000000001
92,5,1255.0
52,101,1537.95
129,93,1595.48
96,81,2651.46
57,23,1090.14
9,110,8109.5199999999995
169,14,388.5
57,11,216.17
326,28,201.16
1,76,1245.9
18,139,2209.36
248,20,305.78
58,30,501.56
74,7,145.67000000000002
31,61,1015.29
7,33,3192.54
123,307,3104.95
2,115,2770.94
23,336,6403.25
120,23,389.6
358,18,540.45
54,104,1786.79
64,7,122.7
86,3,117.24
55,36,1281.53
21,165,3219.77
4,178,17159.52
3,65,1191.13
11,142,2674.48
7,59,787.6
189,28,506.8
71,16,243.56
204,19,349.55
120,40,605.63
93,15,416.90000000000003
1,110,1883.8100000000002
27,27,632.97
298,21,821.1
24,27,564.62
28,118,2593.07
50,17,311.16
326,12,155.93
16,19,388.52
183,43,740.95
72,149,2867.2
37,26,332.64
80,122,2369.55
57,148,2580.91
12,33,626.45
50,18,272.04
50,30,1212.8400000000001
59,28,384.81
352,7,172.25
54,20,351.13
2,117,1838.8500000000001
93,41,678.25
23,11,223.85000000000002
75,21,348.99
11,27,464.57
169,9,842.65
58,17,337.34
96,58,1237.53
295,16,307.4
109,23,608.7900000000001
264,31,922.1
180,26,376.58
169,9,158.85
35,7,71.66
23,45,568.55
17,49,839.14
22,45,5112.96
79,11,561.5699999999999
65,5,90.6
361,3,102.0
3,160,2427.32
11,35,745.06
176,39,674.45
218,137,3251.071
7,20,3515.68
2,25,439.92
154,33,322.96
5,152,1026.42
79,92,598.2
21,12,230.22
22,11,169.55
308,35,664.54
146,2,80.7
7,626,9053.94
19,149,2758.26
71,15,190.25
287,11,264.7
49,28,413.59000000000003
31,338,2526.28
207,10,357.98
15,15,196.79000000000002
73,54,869.87
60,11,200.14
39,111,1871.81
30,107,2603.43
27,16,920.51
4,351,7060.13
17,13,320.46
20,234,4147.96
66,41,1266.08
213,16,311.3
12,84,855.97
30,5,76.8
43,121,3466.36
4,155,2313.14
15,86,1393.69
10,208,3901.81
211,15,635.66
46,39,2043.0800000000002
134,47,529.73
43,171,4582.64
10,84,2874.72
116,30,962.19
198,42,695.61
278,11,328.8
110,34,473.02
77,39,505.18
53,20,917.34
162,161,4341.21
47,66,1421.61
17,39,642.8
155,22,631.9
225,28,440.0
7,31,584.07
122,16,327.7
61,6,104.82
63,15,467.66
18,243,2360.09
7,250,17286.86
2,143,2975.59
22,89,651.8199999999999
29,66,1428.02
285,38,626.65
176,28,147.20000000000002
78,92,1560.38
33,6,152.2
41,235,3614.92
266,21,141.41
27,209,652.82
109,6,1659.75
284,14,154.99
9,32,1308.6100000000001
305,85,409.93
17,488,5681.72
32,54,746.36
1,210,15610.390000000001
20,56,225.36
124,4,260.25
65,6,92.46
106,10,725.6400000000001
1,1106,8214.65
24,284,6217.96
267,8,183.6
5,202,6140.42
10,111,10464.85
29,80,1353.74
267,7,152.55
64,52,374.7
320,24,265.85
4,324,1438.82
32,13,151.04
5,43,942.26
129,46,122.47
41,42,499.41999999999996
102,65,1049.37
125,12,375.1
33,4,45.599999999999994
302,153,934.52
365,29,182.25
4,181,1018.43
2,450,4448.54
3,69,194.42
10,589,50491.81
57,14,161.0
325,1,76.32000000000001
8,214,4076.91
12,105,442.85
4,5111,65164.79
37,21,147.35
16,250,3104.17
138,26,194.9
74,35,5976.79
5,79,1360.28
155,21,216.20999999999998
239,74,1266.23
52,123,2703.23
31,34,597.91
73,9,144.2
4,156,5683.15
14,10,692.85
23,160,2915.15
4,34,1840.42
274,15,386.53
20,72,1382.74
144,3,90.0
4,159,2780.15
84,5,419.58000000000004
11,167,2740.43
8,15,706.1300000000001
123,44,709.71
61,46,637.5
2,52,1123.8600000000001
319,67,483.86
2,200,3586.0299999999997
130,28,605.64
2,134,4690.31
2,47,982.3800000000001
46,26,415.82
4,66,935.05
3,40,915.13
373,22,311.81
134,7,115.8
47,11,3742.2
9,210,4191.0
78,5,483.4
234,3,157.2
221,28,446.62
36,26,658.64
75,49,621.29
239,52,1345.62
266,6,118.75
10,1400,117379.63
20,48,432.88
40,41,507.66
20,1204,4693.01
216,108,1110.52
174,25,289.36
87,52,2445.91
71,29,1631.77
276,25,122.53999999999999
39,52,574.84
98,58,363.79
11,29,450.84
33,26,134.46
60,149,3222.3
297,31,576.9000000000001
86,42,559.41
9,327,1620.93
41,165,719.78
11,240,4748.52
67,24,452.89
331,3,197.65
31,65,2054.36
2,265,4654.08
2,259,4684.76
68,42,853.39
5,579,11349.52
202,7,1012.0
107,6,335.52
18,39,701.4
218,2,185.39999999999998
60,37,747.44
2,44,161.03
17,24,466.7
239,20,328.15999999999997
95,10,151.74
11,87,2073.43
106,102,1905.8400000000001
53,112,2241.1
90,9,1070.48
31,67,1004.38
12,108,1789.72
3,59,1839.3
2,100,2004.98
43,12,169.48000000000002
4,7,89.94
247,21,632.4
42,193,3432.8
177,41,683.17
92,60,991.13
110,118,1050.12
29,67,2232.19
26,175,3350.96
52,40,1547.2
184,50,925.71
43,115,2048.07
49,35,1462.72
22,159,775.46
75,79,3144.86
81,15,490.86
373,9,161.0
326,8,146.85
43,112,2380.85
30,42,890.34
184,10,213.70000000000002
235,16,280.55
9,141,2588.77
220,108,1693.45
111,75,1474.06
278,20,136.76999999999998
318,8,302.58
7,111,1904.05
2,78,2879.7000000000003
260,53,969.0600000000001
64,106,3099.7200000000003
9,111,12669.98
142,5,120.0
51,52,1163.45
8,143,2618.23
155,17,333.97
109,31,530.18
163,55,1516.24
332,29,492.65000000000003
226,10,112.32
74,33,437.96
51,29,559.97
99,64,1119.74
15,225,4216.2
197,8,134.04
3,156,3729.34
31,32,595.25
21,27,1910.01
24,280,4628.75
8,9,176.63
213,16,426.6
9,47,911.26
11,101,2314.65
2,237,3883.25
8,100,4871.93
3,61,1046.56
40,5,166.20000000000002
18,62,1305.33
8,1637,51527.3
8,143,3965.62
19,3,43.2
117,13,640.14
223,17,383.45
71,105,1858.96
51,33,2093.32
89,180,2995.72
8,117,2352.53
243,20,310.26
47,87,1611.59
107,8,120.0
45,101,2481.13
65,24,508.58000000000004
207,31,477.79
11,123,1530.75
115,36,605.0600000000001
242,8,183.85
163,12,311.65
17,259,5014.84
124,28,462.65999999999997
23,26,866.31
68,15,415.2
17,162,2552.21
16,63,468.26
17,90,1614.91
161,31,588.22
243,14,309.52
219,6,134.7
45,129,2182.28
21,21,668.5600000000001
127,71,889.9300000000001
39,6,108.97999999999999
121,60,1021.58
260,18,409.57
10,31,133.5
274,18,282.93
165,1,51.0
157,47,1078.96
215,6,90.6
6,9,163.62
366,11,174.4
80,33,701.23
43,41,225.77
19,55,912.18
32,118,2128.23
22,41,161.2
109,69,3717.35
8,524,9261.52
320,8,155.0
295,4,100.5
358,4,76.55
185,75,257.68
191,11,617.05
44,46,348.1
52,56,202.68
26,131,626.0699999999999
38,59,1247.69
9,14,202.11
297,7,142.4
33,140,1770.56
10,186,3212.84
65,45,1043.46
10,286,4652.82
218,5,67.95
2,350,3507.71
65,73,487.99
3,87,2612.96
149,25,574.7
4,182,4051.48
130,20,1475.81
34,103,1474.32
119,8,156.75
107,73,2157.73
11,107,2606.53
71,54,2059.4500000000003
92,194,1105.07
311,14,1063.0
43,43,770.03
362,23,122.7
92,97,1496.98
1,590,5900.28
22,14,490.22
4,124,1937.25
11,206,1058.06
99,29,387.52
57,27,813.11
1,222,4263.64
218,3,265.2
18,1,322.08
24,224,4481.67
50,17,363.34000000000003
7,144,1244.83
303,17,470.36
10,382,2255.51
22,12,1372.8
99,9,89.06
366,5,63.0
306,9,131.9
320,32,2661.24
8,55,2357.6800000000003
1,51,1712.89
205,63,1589.82
54,93,1420.2
1,293,1039.58
19,70,1163.23
9,20,375.35
19,258,907.1
181,40,483.25
60,109,662.59
11,62,264.44
190,22,119.93
5,970,3062.4
311,4,113.64
155,37,1837.92
110,16,434.34
148,180,2103.06
66,240,2004.02
98,6,529.62
247,130,1058.6200000000001
29,72,2272.4
18,90,598.76
12,43,461.19
104,281,1936.84
74,7,234.34000000000003
46,29,547.66
72,42,925.85
257,19,215.7
20,10,1309.6
254,18,316.25
11,13,279.05
165,30,636.51
18,144,2068.15
282,9,137.1
